,Response,Best Approx,Similarity
0,"Negroes have been told many times they're fighting this war so that they may have Democracy and the same rights and privileges as whites. But a colored soldier is more discriminated against and segregated than he was when he was a civilian. Its evident to those who care to see it that not many of the promises to Negroes are being kept. Since the Emancipation Proclamation Negroes have been fighting for what they have now. Each right, each privilege was fought for. Whatever conclusions may be drawn from this survey lets hope its for the further advantage of the Negroes. Negroes love America and will fight for America but the Negroes are going to demand a status as a citizen equal to that of a white citizen. Only that way can an example of Democracy be used for other countries.",I think the negro soldier should have the same chance the white soldier have because we all are soldiers. The negro soldier isn't getting the same chance the white soldier is getting. Give them all even brakes they all are soldiering to win the war. Now the negro unit being treated just for when it comes to fighting the negro get to fight and then isn't being treated fare.,0.8304858803749084
1,I dont like the army. I had rather be on the out side I dont think I have any thing to fight for. The white have all of the privedlages and they should do the fighting,"I am verry inrested in this war an want to do everything I can to help win this war, but I do want a fair chance at what I like best, an be treated like a Soldier an not like dog. I think it is a disgrace the way collored Soldiers are treated in this part of the country but sill we are supose to be fighting for the same thing the white are fighting for I would be for more interresting in my training if I were Some place where collored Soldiers were more recknized an given a fair an better chance.",0.7480015158653259
2,"I think that if were going to win this war, the white people in the South will have to realize that the negro soldier is taking a part in this war also, they continue to kill and lynch negro soldiers without thought that there is a war going on, and that manpower is needed badly. The white people put the colored people under the impression that they can win the war by themselves. We all know that this is foolish, because in the last war the colored soldiers were the ace in the hole",I think the negro soldier should have the same chance the white soldier have because we all are soldiers. The negro soldier isn't getting the same chance the white soldier is getting. Give them all even brakes they all are soldiering to win the war. Now the negro unit being treated just for when it comes to fighting the negro get to fight and then isn't being treated fare.,0.85071861743927
3,Why is it that the negro dont have the the [unclear]arites[/unclear] as the White Soldier in traveling around in towns as the White When they all are just the same so far as Brotherhood is consurn,Negro and white all should be one because they [unclear][/unclear] in the home state and in the army and show one as to be [unclear][/unclear],0.6734724044799805
4,"I highly approve of this questionnaire it gives me an opportunity to express my views. I firmly believe the whole cause of [unclear][/unclear] is due to lack of intelligence and understanding. Avoiding a problem never remedies it. We are all Americans no matter what color the supreme being or nature chose to make us. A man is only a man in spirit, body, and in blood. May God grant that we all as human beings soon realize that fact. Thanks again for this opportunity.",I sincirely hope that the information given in this questionnaire will aid in correcting any faults that may not be consistent with the american way of living. Answers to all questions contain my honest openions and are given without predujice or ill motive in the direction of anyone.,0.7372696399688721
5,Above all lets stick together and beat the Axis as soon as possible so as to get back to normal living again. Other problems concerning negro or whites rights should be thrashed out in Congress with represen-tation of both races present.,let us all be one and put togeter and win this war and free all countries that is in trouble for they owed it. I dont want to sop until we said the [unclear][/unclear] see help every one that is in trouble. hop. After the war negro white will live the same from this day on. America will march with a upright chin wont stop until the war is win.,0.7469377517700195
6,The Army's OK and you can send me to [unclear][/unclear] in the morning if you wish to.,I' am doing fine in the army,0.6245957016944885
7,We negros would like to go to O.C.S. but they will not give you a chance to go. I didn't know why but some of us have the edc. to go. The white officers we have from the south is hell on negro soldiers The has is to show you how to [unclear][/unclear] all day on Sat. to get a bus to town they are too slow. ,I dont like the way these white people treat a negro because when we go home on a week end pass we cant get a bus out and when we get a bus all the white sholders get on an the negroes got to wait until last and then they dont take aboute 5 at a time and if we be late getting back to the camp we got to be punish. and another thing the Mp will hit a negro sholder over the head if he look at him. And after I help wend this war I am going to ask for my rights because is dude to me. I am a negro sholder and I am enteresting in my training but they dont treat me wright like the white sholders and until the white people learn to treat negro sholders right we be better off this is all,0.8334101438522339
8,"I as a negro will be very surprised if at the end of this war, we are, in the south, allowed to vote for this country after we have sacrificed just as much as these whites have. I am hoping that we will be given a chance to compete with the whites if we are qualified in industrial jobs if we are qualified. I will be very glad when the day comes when a soldier in the armed forces of the U.S. are allowed whether black or not to travel in any style his finances will pay for in any part of this country. When the war ends, I want to be able to go south and to take a place in society not with but equally as high and [unclear][/unclear] as any southern gentleman and not be segrigated + abused by our ignorant southern whites. That we Naval cadets will be judged and promoted by merit and not shades of colors. Be given the same training + allowed to do the very same things as the white sailors. We are Capable of handling the same situations as the whites with the same training as we Are we Not","We, the negro as a group of people only, only want out of this war a fair chance to prove our worth. Give us a fair chance after the war to compete in Labor and Capital. We as a group of soldiers have to do the so called dirty work of the Army. If we have to fight do not hamper our progress. Why not remove all negro hating white officers to white outfits they only make a soldier hat the Thing They are making him fight for. We will never have complete democracy as long as a nation is divided against its largest minority. For a minority of 13,000,000 people we are really getting a rotten break to show our worth as a soldier.",0.7622774243354797
9,Will this all I have got to say about the [unclear][/unclear] one thing I will be one glad should whe the whuld this it our,I thank these questions are inter[unclear]ance[/unclear] brode about the pass and the future to come.,0.61567223072052
