Unnamed: 0,subject_id,image_name,document_type,S64.Q95.M,S64.Q95.M_marginalia,S64.Q96.M,S64.Q96.M_marginalia,S64.Q97.F,S64.Q97.C_1,S64.Q97.C_2,S64.Q97.C_3,S64.Q97.C_4,S64.Q97.C_5,S64.Q97.Full
0,15863105,2521127-16-0001.jpg,Other,,,,,,,,,,,
1,15863107,2521127-16-0002.jpg,Other,,,,,,,,,,,
2,15863110,2521127-16-0003.jpg,Other,,,,,,,,,,,
3,15863112,2521127-16-0004.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,Things are a little worse,,Theres such a thing as predjudice in this army and racist hatred. That damn wop that lousy Jew or that dirty German - We're all fighting for one thing or a one country so the quicker we learn to cooperate the better off we'll be. United we stand seperate we fall,,,,,,Theres such a thing as predjudice in this army and racist hatred. That damn wop that lousy Jew or that dirty German - We're all fighting for one thing or a one country so the quicker we learn to cooperate the better off we'll be. United we stand seperate we fall
4,15863115,2521127-16-0005.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,I don't see any difference,,I'll like to go into combat and fight. that all I really want.,,,,,,I'll like to go into combat and fight. that all I really want.
5,15863119,2521127-16-0006.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,"Things are a little better, but not much",,I think the army would be a lot better if the officers had more training & so much time wasn't wasted just hanging around. I think just hanging around doing nothing brings about most of the discontentment in the army & I also think most of us soldiers feel that the war is just another way of throwing away money.,,,,,,I think the army would be a lot better if the officers had more training & so much time wasn't wasted just hanging around. I think just hanging around doing nothing brings about most of the discontentment in the army & I also think most of us soldiers feel that the war is just another way of throwing away money.
6,15863122,2521127-16-0007.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","No, I have not had my fair share of either furloughs or passes",,"Things are a little better, but not much",,"I think some outfits get more breaks than other boys do. and I don't see any reason for it. I think all outfits should get a lot of breaks while in the States because when they go overseas, they all have it pretty tough.",,,,,,"I think some outfits get more breaks than other boys do. and I don't see any reason for it. I think all outfits should get a lot of breaks while in the States because when they go overseas, they all have it pretty tough."
7,15863125,2521127-16-0008.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,I don't see any difference,,"In a quarter master outfit I feel like we should get more experience at driving, I have been in the army over 7 months an have only drove a truck about 75 miles, an if I am going to be a good truck driver I need more experience. ",,,,,,"In a quarter master outfit I feel like we should get more experience at driving, I have been in the army over 7 months an have only drove a truck about 75 miles, an if I am going to be a good truck driver I need more experience."
8,15863129,2521127-16-0009.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)",I have had my fair share of passes but not furloughs,,I don't see any difference,,I have been in the army nine months and have not had a furlough but sone of the Sodiers has had then and has ben in the army less then nine months. I think it should go to the one who has ben in the Service the logenst.,,,,,,I have been in the army nine months and have not had a furlough but sone of the Sodiers has had then and has ben in the army less then nine months. I think it should go to the one who has ben in the Service the logenst.
9,15863132,2521127-16-0010.jpg,"A document that contains three questions (Q.95, Q.96 and Q.97)","Yes, I have had my fair share of both furloughs and passes",,"Things are a little better, but not much",,I think that when a man is inducted into the Army he should be more clearly studied to see in what line of work he is going to be more capable fit. And also to ask him his opinion on what type of work and outfit he would like to do and to be in. That way a lot more of the men would be far more interested in their work or duty in the Armed forces.,,,,,,I think that when a man is inducted into the Army he should be more clearly studied to see in what line of work he is going to be more capable fit. And also to ask him his opinion on what type of work and outfit he would like to do and to be in. That way a lot more of the men would be far more interested in their work or duty in the Armed forces.
