index,response,choice,match,match_choice,score
195,See question 60,separate,See question 60,separate,1.0
770,Same as 60.,separate,Same as 60.,separate,1.0
460,Same as question 60,separate,Same as question 60,separate,1.0
660,Same as no. 60,separate,Same as No. 60,separate,1.0
663,Same as #60,separate,Same as #60,separate,1.0
951,Same as #60,separate,Same as #60,separate,1.0
580,same as 60.,separate,Same as 60.,separate,1.0
291,Same as #60,separate,Same as #60,separate,1.0
611,Same as #60,separate,Same as #60,separate,1.0
1197,same as #60,separate,Same as #60,separate,1.0
737,Same as 62,separate,Same as 62,separate,1.0
84,same as #60,separate,Same as #60,separate,1.0
1241,See question 60,separate,See question 60,separate,1.0
790,Same as No. 60,separate,Same as No. 60,separate,1.0
819,same as 62,separate,Same as 62,separate,1.0
475,Same as 62,separate,Same as 62,separate,1.0
456,Same as question 60,separate,Same as question 60,separate,1.0
242,Same Reason,separate,Same reason,separate,0.9999999999999998
710,[no answer],separate,[no answer],separate,0.9999999999999998
365,Same reason,separate,Same reason,separate,0.9999999999999998
453,[no answer],separate,[no answer],separate,0.9999999999999998
655,[no answer],separate,[no answer],separate,0.9999999999999998
1060,Same as in No. 60,separate,Same as in No. 60,separate,0.999999999999929
952,Same as in No. 60,separate,Same as in No. 60,separate,0.999999999999929
1249,Same as 60,separate,Same as 60,same,0.9999999999999203
57,Same as 60,same,Same as 60,separate,0.9999999999999203
268,same,separate,Same,same,0.999999999999868
26,Same,same,same,separate,0.999999999999868
371,The Morale would be better,separate,The morale would be better.,separate,0.9940522975842818
369,The morale would be better.,separate,The Morale would be better,separate,0.9940522975842818
255,Same as question 60 & 62,separate,Same as question 62 & 60,separate,0.9917465127763088
534,Same as question 62 & 60,separate,Same as question 60 & 62,separate,0.9917465127763088
30,- same as # 60,same,same as #60,separate,0.9909209638093818
106,The same as 62,separate,Same as 62,separate,0.9908359784197749
1034,Same as #60.,separate,same as #60,separate,0.9903598406151229
1165,they work together better,separate,They work better together,separate,0.9890176729369153
455,They work better together,separate,they work together better,separate,0.9890176729369153
1177,Because they wouldnt get along together,separate,Because they wouldn't get along together,separate,0.9877062501536501
383,Because they wouldn't get along together,separate,Because they wouldnt get along together,separate,0.9877062501536501
920,because they couldn't get along.,separate,Because they couldnt get along,separate,0.9872567251784711
769,Because they couldnt get along,separate,because they couldn't get along.,separate,0.9872567251784711
88,They work better in their own group. ,separate,They work better with their own group,separate,0.9850122675800541
797,They work better with their own group,separate,They work better in their own group. ,separate,0.9850122675800541
602,same at 60,separate,Same as 60,separate,0.9832736689669378
510,Same.,separate,Same,same,0.9829859355027294
554,Same as Question 60.,separate,Same as question 60,separate,0.9821613463228109
961,Same as for question 60,separate,Same as question 60,separate,0.9816728168421798
677,because they would not get along,separate,Because they would not get along together.,separate,0.9803956700965599
1018,Because they would not get along together.,separate,because they would not get along,separate,0.9803956700965599
450,same as in question 60,separate,Same as question 60,separate,0.9769396573395345
329,Same as 61 and 62,separate,Same as 61 & 62,separate,0.9753922480085729
1137,Same as 61 & 62,separate,Same as 61 and 62,separate,0.9753922480085729
113,Because they would never get along together,separate,They would never get along together.,separate,0.9744072047768689
302,They would never get along together.,separate,Because they would never get along together,separate,0.9744072047768689
1044,Same as No 60.,separate,Same as no. 60,separate,0.97149234705328
130,Same Reason.,separate,Same Reason,separate,0.9713216382265557
659,I think they would like it better that way.,separate,I think they would like it better,separate,0.970432548158014
787,I think they would like it better,separate,I think they would like it better that way.,separate,0.970432548158014
539,would not get along,separate,They would not get along,separate,0.9687391963018189
415,They would not get along,separate,would not get along,separate,0.9687391963018189
226,They wouldn't get along together,separate,Because they wouldn't get along together,separate,0.9685210856044169
595,Same as question #60,separate,Same as question 60,separate,0.9671309759414916
744,Same answer as question 60.,separate,Same answer as question no. 60,separate,0.9669656598333034
568,Same answer as question no. 60,separate,Same answer as question 60.,separate,0.9669656598333034
176,Same as answer 60.,separate,Same answer as question 60.,separate,0.9616609020757708
248,Would be better for morale,separate,The morale would be better.,separate,0.9608432580105442
1144,Because the south doesn't like negro's.,separate,Because the south don't like negro that good.,separate,0.9590605289383488
228,Because the south don't like negro that good.,separate,Because the south doesn't like negro's.,separate,0.9590605289383488
649,They will never get along,separate,They would never get along together.,separate,0.9549511504836304
131,They wouldn't get along with each other,separate,They wouldn't get along together,separate,0.954194770675125
701,THEY WORK BETTER THAT WAY,separate,They work better together,separate,0.9526390197120107
877,I don't like negro,separate,I dont like negros,separate,0.9501055221120973
161,I dont like negros,separate,I don't like negro,separate,0.9501055221120973
314,because they seem to understand each other better.,separate,Because I think they can understand each other better,separate,0.9491375986792397
361,Because I think they can understand each other better,separate,because they seem to understand each other better.,separate,0.9491375986792397
87,Same as No - 60,separate,Same as No 60.,separate,0.9488719342992127
126,Because they can't get along with each other,separate,because they couldn't get along.,separate,0.9475018546375585
404,because some whites don't like negroes and negroes don't like whites,separate,because some white don't like the negro.,separate,0.9450018528811146
1182,because some white don't like the negro.,separate,because some whites don't like negroes and negroes don't like whites,separate,0.9450018528811146
800,Same as answer to #60,separate,Same as answer 60.,separate,0.944905168857446
305,because they don't get along together,separate,they do not get along,separate,0.943094886682046
104,they do not get along,separate,because they don't get along together,separate,0.943094886682046
805,It just wouldn't work.,separate,It just wouldn't work out.,separate,0.942516341441467
531,It just wouldn't work out.,separate,It just wouldn't work.,separate,0.942516341441467
3,They are just as good as I am.,same,They are just as good as we are.,same,0.9417362751712374
64,They are just as good as we are.,same,They are just as good as I am.,same,0.9417362751712374
457,Same reason as question 62,separate,For same reason as given in question 62.,separate,0.941396018018747
861,For same reason as given in question 62.,separate,Same reason as question 62,separate,0.941396018018747
730,As some White Soldiers don't like Negroes around them. ,separate,Lots of white soldiers do not like negroes. ,separate,0.9408382507581383
998,Lots of white soldiers do not like negroes. ,separate,As some White Soldiers don't like Negroes around them. ,separate,0.9408382507581383
1031,The same reason as stated before.,separate,For same reasons as stated before,separate,0.9404315013448571
971,For same reasons as stated before,separate,The same reason as stated before.,separate,0.9404315013448571
443,They git [get] along better,separate,they git along better,separate,0.9384123651665993
462,they git along better,separate,They git [get] along better,separate,0.9384123651665993
575,They would work together better.,separate,They do better work together,separate,0.9370931206366317
966,They do better work together,separate,They would work together better.,separate,0.9370931206366317
1171,Better for all concerned.,separate,It is better for all concerned.,separate,0.9359773200709637
310,It is better for all concerned.,separate,Better for all concerned.,separate,0.9359773200709637
786,Most white people doesn't like Negros,separate,Most whites don't like the Negros. ,separate,0.9357625493562759
1127,Most whites don't like the Negros. ,separate,Most white people doesn't like Negros,separate,0.9357625493562759
1117,I think they would be happier in their own outfits,separate,They would feel better in their own outfits.,separate,0.9349934361473077
509,They would feel better in their own outfits.,separate,I think they would be happier in their own outfits,separate,0.9349934361473077
834,Because some whites and some negroes just cant get along.,separate,Some negros & whites can't get along very well.,separate,0.9343775578407931
548,Some negros & whites can't get along very well.,separate,Because some whites and some negroes just cant get along.,separate,0.9343775578407931
1114,They get along better by themselves. More cooperative together,separate,because they get along better by themselves,separate,0.9331049376535175
556,because they get along better by themselves,separate,They get along better by themselves. More cooperative together,separate,0.9331049376535175
254,The same reason as in 62.,separate,For same reason as given in question 62.,separate,0.929144794657484
777,Negro and White soldiers wouldnt get along together.,separate,because white an negro soldiers would not get along.,separate,0.9284568559876535
368,because white an negro soldiers would not get along.,separate,Negro and White soldiers wouldnt get along together.,separate,0.9284568559876535
1157,They wouldn't work together,separate,They wouldn't get along together,separate,0.928417797548707
955,Most white people don't like to live with negroes,separate,Most white people doesn't like Negros,separate,0.9282397770020616
348,They couldn't get along together.,separate,Because they couldnt get along,separate,0.9278556899290155
354,same as #62,separate,Same as 62,separate,0.9271571249048759
1066,Less chance of friction,separate,creates less friction,separate,0.9269447139727494
350,creates less friction,separate,Less chance of friction,separate,0.9269447139727494
669,I would not want to sleep alongside of a negroe.,separate,Because I would not like to sleep by a Negro.,separate,0.9265416369332861
1156,Because I would not like to sleep by a Negro.,separate,I would not want to sleep alongside of a negroe.,separate,0.9265416369332861
209,Same as 60 above,separate,same as 60.,separate,0.9253243171253006
204,The same as question 62,separate,Same reason as question 62,separate,0.9234315942529004
718,Could not get along together at all.,separate,They couldn't get along together.,separate,0.9234171038464785
681,Because the negro's think they are better than the white man.,separate,Because some negro think they are better than white,separate,0.9227110381193409
313,Because some negro think they are better than white,separate,Because the negro's think they are better than the white man.,separate,0.9227110381193409
187,Because white & Negro don't mix,separate,White and Negro Don't mix.,separate,0.9218185103576891
251,White and Negro Don't mix.,separate,Because white & Negro don't mix,separate,0.9218185103576891
328,including the officers,separate,include the officers,separate,0.9208854230143028
326,include the officers,separate,including the officers,separate,0.9208854230143028
983,because that way they could work better,separate,They would work together better.,separate,0.9208517567622045
917,Some whites can't get along with negroes,separate,Because some whites and some negroes just cant get along.,separate,0.9206628088516786
711,I think they get along a lot better in separate outfits,separate,Because they would get along better in separate outfits.,separate,0.9205857538768393
950,Because they would get along better in separate outfits.,separate,I think they get along a lot better in separate outfits,separate,0.9205857538768393
933,because the white people don't like negros,separate,because some white don't like the negro.,separate,0.9201245631609681
700,Same answers as 60 & 62,separate,Same as question 60 & 62,separate,0.9195026858367741
258,Same reason I put on Question 62,separate,Same reason as question 62,separate,0.919166648554941
715,For reasons stated in 60 & 62,separate,For the reasons stated in numbers 60 and 62.,separate,0.9187959124372366
381,For the reasons stated in numbers 60 and 62.,separate,For reasons stated in 60 & 62,separate,0.9187959124372366
98,Most white fellows do not like to be near Negro's.,separate,Most white people don't like to live with negroes,separate,0.9184956305618018
478,For the same reason on question #60,separate,Same as question #60,separate,0.9181476701442516
689,They would like it better also,separate,I think they would like it better,separate,0.9172985450265414
721,I think they can work better and have a better chance.,separate,because that way they could work better,separate,0.9170804206098645
115,white people & negroes would not get along,separate,because white an negro soldiers would not get along.,separate,0.9160846070966696
137,Negro & white boys just don't get along.,separate,A white man & Negro just don't get along.,separate,0.9155803931317965
536,A white man & Negro just don't get along.,separate,Negro & white boys just don't get along.,separate,0.9155803931317965
839,White Soldiers from the South wouldn't get along with Negro's,separate,because white an negro soldiers would not get along.,separate,0.9154923769127215
260,Because they don't mix,separate,They don't mix. ,separate,0.9147655123074658
148,They don't mix. ,separate,Because they don't mix,separate,0.9147655123074658
518,same comment as 60,separate,Same as question 60,separate,0.9135294334249452
520,They should be in separate outfits.,separate,They should defnitley be in separate outfits.,separate,0.9109972349393156
541,They should defnitley be in separate outfits.,separate,They should be in separate outfits.,separate,0.9109972349393156
883,It will work better that way. They want to be together.,separate,They would work together better.,separate,0.9103502214295811
1062,Same as 60 or 62,separate,About the same as #60 and #62,separate,0.909797325871407
213,About the same as #60 and #62,separate,Same as 60 or 62,separate,0.909797325871407
886,"""  "" "" """,separate,.,separate,0.9082224996980248
762,.,separate,"""  "" "" """,separate,0.9082224996980248
767,Because most white people don't like the colored race,separate,Most white people doesn't like Negros,separate,0.9070074042771022
231,They can't work together.,separate,They couldn't get along together.,separate,0.90651337291035
577,Some negroes and white don't work well together.,separate,Some negros & whites can't get along very well.,separate,0.906310608371025
119,The whites does not like to associate with negroes,separate,because some whites don't like negroes and negroes don't like whites,separate,0.9062419603677172
837,Yes I do think so,separate,yes,separate,0.9060418864888037
386,yes,separate,Yes I do think so,separate,0.9060418864888037
695,white soldiers would not like to take orders from a negro officer,separate,"White soldiers don't like to work with negroes, especially negro officers.",separate,0.9057220055465063
889,"White soldiers don't like to work with negroes, especially negro officers.",separate,white soldiers would not like to take orders from a negro officer,separate,0.9057220055465063
698,I'm sure a white soldier wouldn't like the idea of taking orders from a negro Officer or Non-com.,separate,white soldiers would not like to take orders from a negro officer,separate,0.9055866640269963
233,Because there is a lot of negros that don't like the whites,separate,Most whites don't like the Negros. ,separate,0.9045382712937835
155,They will make better soldiers in their own outfit,separate,I think they would make better soldiers in their own outfits.,separate,0.9039988404995933
569,I think they would make better soldiers in their own outfits.,separate,They will make better soldiers in their own outfit,separate,0.9039988404995933
736,A Negro will do better with his fellows than with white soldiers,separate,Because the negro's think they are better than the white man.,separate,0.9025730732510234
227,They get along much better in an outfit of their own.,separate,They can get along better in their own outfits.,separate,0.9021593906942921
175,They can get along better in their own outfits.,separate,They get along much better in an outfit of their own.,separate,0.9021593906942921
440,They will work better among their own race,separate,They work better when working with their own race.,separate,0.9012744885532505
197,They work better when working with their own race.,separate,They will work better among their own race,separate,0.9012744885532505
496,The white people do not trust the Negro very much,separate,because the white people don't like negros,separate,0.8993327677485901
739,They do better in separate outfits.,separate,Because they would get along better in separate outfits.,separate,0.8990665390668291
484,As a rule they don't work well together espicially in the South.,separate,The South don't get along to well with them,separate,0.8977976997090045
1053,The South don't get along to well with them,separate,As a rule they don't work well together espicially in the South.,separate,0.8977976997090045
572,Same reason as #6,separate,Same reason as in question #6. ,separate,0.8975609025562287
1220,Same reason as in question #6. ,separate,Same reason as #6,separate,0.8975609025562287
1000,Same as 60-61,separate,Same as 60 or 62,separate,0.8970328887641643
761,Southern people don't like to associate with negroes.,separate,Because the south doesn't like negro's.,separate,0.8964020442477671
972,Most white people cannot get along with negros.,separate,Most white people doesn't like Negros,separate,0.89492124244334
741,Same as reason #60,separate,For the same reason on question #60,separate,0.8946333606191873
897,Better team work could be obtained,separate,because that way they could work better,separate,0.8940565190479491
132,well they couldn't get along very good.,separate,They couldn't get along together.,separate,0.8939861965152445
219,Because white people & negroes never did get along.,separate,A white man & Negro just don't get along.,separate,0.8929339473154605
630,Negro and white soldiers just wouldn't work to gether.,separate,Negro and White soldiers wouldnt get along together.,separate,0.892562352081065
378,Because the whites and the colored do not get along so well,separate,because negros and whites doesn't work well enough together,separate,0.8915206544165066
729,because negros and whites doesn't work well enough together,separate,Because the whites and the colored do not get along so well,separate,0.8915206544165066
766,A negro that is placed in with white thinks he is better than white,separate,Because some negro think they are better than white,separate,0.8910724663331812
273,I think they would feel better being together.,separate,I think they would like it better,separate,0.8899962862685151
212,white and Negro soldiers together would not work out at all,separate,Negro and White soldiers wouldnt get along together.,separate,0.8893773541145096
446,I wouldn't want to be in with any negroes.,separate,I just wouldn't like to be together with a negro.,separate,0.8892518780575573
320,I just wouldn't like to be together with a negro.,separate,I wouldn't want to be in with any negroes.,separate,0.8892518780575573
968,because there are many white soldiers who would not like to be with negroes. ,separate,Lots of white soldiers do not like negroes. ,separate,0.8887490382048286
843,They will work together a lot better in separate outfits,separate,Because they would get along better in separate outfits.,separate,0.8878928446365986
80,Because whites and Negroes can not mix. ,separate,Because white & Negro don't mix,separate,0.885680593969472
940,To cause no trouble,separate,Their wouldn't be any trouble.,separate,0.8852412054822529
1257,Their wouldn't be any trouble.,separate,To cause no trouble,separate,0.8852412054822529
1224,There would be to much friction and troubles.,separate,There would be too much strife and trouble.,separate,0.8831022580661654
77,There would be too much strife and trouble.,separate,There would be to much friction and troubles.,separate,0.8831022580661654
935,Because if Negroes are put in with whites they won't work together.,separate,because negros and whites doesn't work well enough together,separate,0.8830904869450859
191,Refer to no. 60,separate,See note on 60,separate,0.8814270933377932
647,See note on 60,separate,Refer to no. 60,separate,0.8814270933377932
334,A negro is a negro and should be kept in his place.,separate,A negro Should stay in his place.,separate,0.8813981657573896
121,A negro Should stay in his place.,separate,A negro is a negro and should be kept in his place.,separate,0.8813981657573896
246,Because the White and the Negros are hard to get along.,separate,Because some whites and some negroes just cant get along.,separate,0.880916595329367
1125,Because the negro is not fit to be with white boys.,separate,The white boys wouldn't like to be with the negro.,separate,0.8798400787148053
726,The white boys wouldn't like to be with the negro.,separate,Because the negro is not fit to be with white boys.,separate,0.8798400787148053
81,White and negro soldiers could not live together ,separate,Negro and White soldiers wouldnt get along together.,separate,0.879305464064678
