,Zooniverse tag,Expert correspondance,similarity
1121,entertainment,entertainment,[[1.0000005]]
3138,savings,savings,[[1.0000005]]
1272,films,films,[[1.0000004]]
1971,livingconditions,livingconditions,[[1.0000004]]
1633,hospitalfacilities,hospitalfacilities,[[1.0000004]]
1608,homefront,homefront,[[1.0000004]]
1914,lengthofservice,lengthofservice,[[1.0000002]]
1915,lengthofwar,lengthofservice,[[1.0000002]]
2969,redcross,redcross,[[1.0000002]]
1069,efficiency,efficiency,[[1.0000002]]
2634,physicalfitness,physicalfitness,[[1.0000002]]
2358,noncoms,noncoms,[[1.0000002]]
2070,media,media,[[1.0000002]]
2359,noncomsclass,noncoms,[[1.0000002]]
1046,duty,duty,[[1.0000002]]
3539,timeoff,timeoff,[[1.0000002]]
2965,recreation,recreation,[[1.0000002]]
360,bbc,bbc,[[1.0000002]]
3160,segregation,segregation,[[1.0000002]]
1635,hospitalization,hospitalization,[[1.0000002]]
3366,starsandstripes,starsandstripes,[[1.0000002]]
952,discipline,discipline,[[1.0000002]]
948,dischargees,dischargees,[[1.0000002]]
3720,us-clubs,us-clubs,[[1.0000002]]
3809,warnews,warnews,[[1.0000001]]
2620,personalservices,personalservices,[[1.0000001]]
2592,patientcare,patientcare,[[1.0000001]]
1791,japan,japan,[[1.0000001]]
1726,information,information,[[1.0000001]]
945,discharge,discharge,[[1.0000001]]
1436,gibill,gibill,[[1.0000001]]
1437,gibillofrights,gibill,[[1.0000001]]
1808,jobevluation,jobevluation,[[1.0000001]]
1977,localcivilians,localcivilians,[[1.0000001]]
1825,jobturnover,jobturnover,[[1.0000001]]
886,demobilization,demobilization,[[1.0000001]]
995,doctors,doctors,[[1.0000001]]
2552,overseascombat,overseascombat,[[1.0000001]]
1911,leisuretime,leisuretime,[[1.0000001]]
1422,germany,germany,[[1.0000001]]
2957,reassignment,reassignment,[[1.0000001]]
432,blacks,blacks,[[1.0000001]]
2784,prideinoutfit,prideinoutfit,[[1.0000001]]
349,baseunits,baseunits,[[1.0000001]]
751,company,company,[[1.0000001]]
1144,espirtdecorps,espiritdcorps,[[1.0000001]]
1143,espiritdecorps,espiritdcorps,[[1.0000001]]
1109,enlisted,enlisted,[[1.0000001]]
3734,usoclubs,usoclubs,[[1.0000001]]
2105,mess,mess,[[1.0000001]]
778,confidenceinship,confidenceinship,[[1.0000001]]
230,armyliving,armyliving,[[1.0000001]]
229,armylivesmatter,armyliving,[[1.0000001]]
228,armylives,armyliving,[[1.0000001]]
2092,men,men,[[1.0000001]]
1360,france,france,[[1.0000001]]
3213,sex,sex,[[1.0000001]]
473,branchofservice,branchofservice,[[1.0000001]]
3801,warfinformation,warfinformation,[[1.0000001]]
1952,limitedassignments,limitedassignments,[[1.]]
301,attitudetowardgermany,attitudetowardengland,[[1.]]
3755,veterans,veterans,[[1.]]
300,attitudetowardengland,attitudetowardengland,[[1.]]
97,aggression,aggression,[[1.]]
182,anxieties,anxieties,[[1.]]
561,careers,careers,[[1.]]
892,dentalcare,dentalcare,[[1.]]
3233,shows,shows,[[1.]]
299,attitudes,attitudes,[[1.]]
701,combat,combat,[[1.]]
2182,morale,morale,[[1.]]
2239,name,name,[[1.]]
714,combatstress,combatstress,[[1.]]
675,clothing,clothing,[[1.]]
2128,militarypolitics,militarypolice,[[1.]]
2970,redeploy,redeployment,[[1.]]
1815,jobpreference,jobpreference,[[1.]]
2934,ratings,ratings,[[1.]]
2127,militarypolice,militarypolice,[[1.]]
611,chilhood,chilhood,[[1.]]
2937,rations,rations,[[1.]]
2074,medicalcare,medicalcare,[[1.]]
3901,women,women,[[1.]]
