,subject_id,image_name,image_name_2,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T15,T31,T32
0,15863112,2521127-16-0004.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a little worse'],,,,There is such a thing as prejudice in this army and racist hatred. That damn wop that lousy Jew or that dirty German - We're all fighting for one thing and one country so the quicker we learn to cooperate the better off we'll be. United we stand separate we fall.,,,,,,,,
1,15863115,2521127-16-0005.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['No, I have not had my fair share of either furloughs or passes']",,"[""I don't see any difference""]",,,,I'll like to go into combat and fight. That's all I really want.,,,,,,,,
2,15863119,2521127-16-0006.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,"['Things are a little better, but not much']",,,,I think the army would be a lot better if the officers had more training & so much time wasn't wasted just hanging around. I think just hanging around doing nothing brings about most of the discontentment in the army & I also think most of us soldiers feel that the war is just another way of throwing away money.,,,,,,,,
3,15863122,2521127-16-0007.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['No, I have not had my fair share of either furloughs or passes']",,"['Things are a little better, but not much']",,,,"I think some outfits get more breaks than other boys do. and I don't see any reason for it. I think all outfits should get a lot of breaks while in the States because when they go overseas, they all have it pretty tough.",,,,,,,,
4,15863125,2521127-16-0008.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,"[""I don't see any difference""]",,"as a quarter master outfit I feel like we should get more experience at Driving, I have been in the army over 7 months an(d) have only drove a truck about 75 miles, an(d) if I am goin to be a good truck driver I need more experience,",,"As a quarter master outfit I feel like we should get more experience at Driving. I have fund in the army over 7 months an have only drove a truck about 75 miles, and if I am going to be a good truck driver I need more experience.",,,,,,,,
5,15863129,2521127-16-0009.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],,"[""I don't see any difference""]",,I have been in the army nine months and have not had a furlough but some of the Soldiers have had them and have been in the army less then nine months. I think it should go to the one that has been in the Service the longest.,,I have been in the army nine momts and have not had a furlough but sone of the Sudier has had then and has ben in the army less then nine monts I think it should go to the one that has ben in the Service the logenst,,,,,,,,
6,15863132,2521127-16-0010.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,"['Things are a little better, but not much']",,,,I think that when a man is inducted into the Army he should be more clearly studied to see in what line of work he is going to be more capable fit. And also to ask him his opinion on what type of work and outfit he would like to do and to be in. That way a lot more of the men would be far more interested in their work or duty in the Armed forces.,,,,,,,,
7,15863136,2521127-16-0011.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)","['Yes, I have had my fair share of both furloughs and passes']",,['Things are a little worse'],,,,It takes too long to relieve a man when he is on guard. The Marine guard is much more efficient in this respect as each man goes to his own post without being marched around the whole regiment by a corporal of the guard. Some of our N.C.O. are kids who never did a good days work in their lives or had men under them. So they seem to,,,,,,,,
8,15863138,2521127-16-0012.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,think they are God's chosen children. The biggest part of our soldiers are PFC's and Pvt's not our corporals.,,,,,,,,,,
9,15863140,2521127-16-0013.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],[unclear][/unclear],"['Things are a little better, but not much']",,There could be better arrangements made as to time off when not on duty and see no reason why one company of a regiment can give early passes and another will not when they are in the same regiment. (paragraph) All in all army life could be a lot worse than it is.,,There could be better arrangements made as to time off when not on duty and see no reason why one company of a regiment can give early passes and another will not when they are in the same regiment. All in all army life could be a lot worse that it is.,,,,,,,,
10,15863142,2521127-16-0014.jpg,,"A document that contains three questions (Q.95, Q.96 and Q.97)",['I have had my fair share of passes but not furloughs'],8,['Things are a little worse'],4,"This Army is run by Officers who, as long as they get passes and privileges, dont give a darn about whether the Enlisted man gets the same treatment or not! There is entirely too much politics in the Army, and the men should be treated as men, instead of puppets which the Officers can do with as they please. There is also entirely too much formation shown to a few men.",,"This Army is run by Officers who, as long as they get passes and privileges, dont give a darn about whether the enlisted man gets the same treatment or not! There is entirely too much politics in the Army, and the men should be treated as men, instead of puppets which the Officers can do with as they please. There is also entirely too much favoritism shown to a few men..",,,,,,,,
11,15863145,2521127-16-0015.jpg,,"A document that contains one question (Q.97, [Continued])",,,,,"We are fighting this war because we love our freedom, and our ""equal rights"" among men, but since I am in the army, I have been bitterly disallusioned about the way that things are run, and the way the men are treated. {paragraph} I believe in discipline, but I don't believe in any Officers making wise remarks and ""slurs"" at the enlisted men. We should have equal rights to express ourselves and our opinions. ------","We are fighting this war because we love our freedom, and our ""equal rights"" among men, but since I am in the army, I have been bitterly disallusioned [disillusioned] about the way that things are now, and the way the men are treated. I believe in discipline, but I don't believe in any officers making [unclear][/witty] remarks, and [unclear][/slurs] as the [unclear][/salisted] men. We should have equal rights to express ourselves and our [unclear][/unclear]",,,,,,,,,
