index,transcriber_tag,expert_tag_1,score_1,expert_tag_2,score_2,expert_tag_3,score_3
6,1in10rations,1in10rations,1,veday,0.577196614,krations,0.577093702
38,90daywonder,1in10rations,0.740930455,veday,0.648779669,opinionoftomorrow,0.568638745
9,1year,1in10rations,0.677777201,age,0.641922481,veday,0.632067527
39,93months,1in10rations,0.640237652,age,0.617646326,sectioncief,0.585751632
2,15days,1in10rations,0.601655181,warweek,0.577465151,age,0.540357598
37,8hours,1in10rations,0.559916417,age,0.541706277,veday,0.527755492
1512,greendrafters,1in10rations,0.494621772,efficiency,0.488359484,goldbricking,0.483484168
66,adjustment,adjustment,1,orientation,0.879313893,evaluation,0.879122723
67,adjustments,adjustment,0.96256477,conversion,0.860884145,reassignment,0.851223514
65,adjust,adjustment,0.958231896,orientation,0.894728213,evaluation,0.887708284
3584,transition,adjustment,0.901581632,conversion,0.898992832,evaluation,0.837541592
2942,readjust,adjustment,0.89145067,evaluation,0.853726926,prophylaxis,0.832031724
1296,fix,adjustment,0.890631327,evaluation,0.856776457,mission,0.854700207
3338,specialization,adjustment,0.884285826,mission,0.860904928,courses,0.856657829
867,decisions,adjustment,0.882951582,attitudes,0.871200171,opinions,0.865945415
810,correction,adjustment,0.881336463,courses,0.860064646,wac,0.857584484
268,arrangements,adjustment,0.871022608,facilities,0.851112742,orientation,0.834099462
2546,overhaul,adjustment,0.870893533,reassignment,0.845870323,retraining,0.840928614
866,decision,adjustment,0.869531353,evaluation,0.859910945,orientation,0.852826392
61,adapting,adjustment,0.868742466,preparedness,0.83683769,retraining,0.826307354
1675,impression,adjustment,0.8654237,name,0.848404157,evaluation,0.843319405
3717,update,adjustment,0.863594681,evaluation,0.863377173,conversion,0.843290247
794,continuation,adjustment,0.862094183,mission,0.859552356,evaluation,0.851149047
2818,progress,adjustment,0.860954774,mission,0.857051703,orientation,0.851761974
2040,manual,adjustment,0.859301898,courses,0.840569107,evaluation,0.837581466
3915,working,adjustment,0.859037823,mission,0.844533906,courses,0.842929537
2962,reconstruction,adjustment,0.853637608,conversion,0.831407959,reassignment,0.810200665
