index,transcriber_tag,expert_tag_1,score_1,expert_tag_2,score_2,expert_tag_3,score_3
3802,warindustries,warindustries,1.0,warbonds,0.8179574090978919,warnews,0.8156513263429542
3199,servicepersonnel,servicepersonnel,1.0,officers,0.7797928815442312,enlisted,0.7758927944144105
2784,prideinoutfit,prideinoutfit,1.0,efficiency,0.8038794922137359,benefits,0.7851796359271769
220,armyfilms,armfilms,1.0,armyinsurance,0.8268655092151241,armyliving,0.8264368705760384
3214,sexcontact,sexcontact,1.0,sex,0.9363365709109314,maritalstatus,0.5433573900469072
1421,germans,germans,1.0,germanclothing,0.8824719740519816,germany,0.8531456792857525
1436,gibill,gibill,1.0,aficourses,0.7087828357529757,usos,0.6682490614564349
2074,medicalcare,medicalcare,1.0,hospitalization,0.8588485553719786,medicaldispensaries,0.8537140441145114
1461,goldbricking,goldbricking,1.0,promotion,0.6646497169224013,wac,0.6355779062493195
2092,men,men,1.0,equipment,0.6746441227371756,attitudes,0.6688973863635821
1486,government,government,1.0,company,0.728735490635596,media,0.7235771404763621
300,attitudetowardengland,attitudetowardengland,1.0,attitudetowardgermany,0.6880856545686901,britishpapers,0.6809476013858579
1517,groundpersonnel,groundpersonnel,1.0,baseunits,0.7578380362125222,equipment,0.6812396426262436
3755,veterans,veterans,1.0,enlisted,0.7253881500233985,conscription,0.7226692210206698
299,attitudes,attitudes,1.0,opinions,0.8885868163961499,orientation,0.8793476020691109
1570,headquarters,headquarters,1.0,company,0.8269385666275973,usos,0.8258049584339401
97,aggression,aggression,1.0,enemies,0.7646445785774542,combatstress,0.7595356315668688
2634,physicalfitness,physicalfitness,1.0,recreation,0.634626243684713,efficiency,0.6253178908290351
1914,lengthofservice,lengthofservice,1.0,age,0.7166220960297047,mission,0.7061085332508262
223,armyinsurance,armyinsurance,1.0,armfilms,0.8268655092151241,armyliving,0.7930852356361625
90,age,age,1.0,attitudes,0.7328162133047247,adjustment,0.7303529880558998
3735,v-eday,veday,1.0,usos,0.6997694151894432,opinionoftomorrow,0.6920743482976492
610,children,children,1.0,chilhood,0.7171644428606878,equipment,0.6930778961989522
3299,soldierdeposits,soldierdeposits,1.0,armyliving,0.6756087286202603,armytalks,0.6462984783287459
344,barracks,barracks,1.0,headquarters,0.8056253699330818,armyliving,0.794473800045125
2620,personalservices,personalservices,1.0,company,0.7332618476213091,publications,0.7307693823599534
1360,france,france,1.0,attitudetowardfrance,0.8392449739753927,espiritdcorps,0.6917702982376547
3809,warnews,warnews,1.0,warindustries,0.8156513263429542,warbonds,0.8138138870396396
1334,foreignpolicy,foreignpolicy,1.0,politicalviews,0.7436230424731006,currentevents,0.6640589525051503
3918,workingwithcivilians,workingwithcivilians,1.0,localcivilians,0.8629992787992711,civilians,0.8594773161248563
3341,specialservices,specialservices,1.0,publications,0.7606270161731338,supplies,0.756594827668689
1318,food,food,1.0,rations,0.8160822483684449,supplies,0.7337526256198837
230,armyliving,armyliving,1.0,armfilms,0.8264368705760384,armytalks,0.805018291040015
2049,maritalstatus,maritalstatus,1.0,promotion,0.6783918423627212,ratings,0.6768893607249495
