,index,transcriber_tag,expert_tag_1,score_1,expert_tag_2,score_2,expert_tag_3,score_3
3735,3735,v-eday,v-e day,1.0000001192092896,morale program,0.744499683380127,pacific toughness,0.7305794954299927
3744,3744,venereal_disease,venereal disease,1.0000001192092896,medical dispensaries,0.6499091982841492,patient care,0.6355075240135193
945,945,discharge,discharge,1.0000001192092896,orientation,0.8493261337280273,mission,0.8363314270973206
2728,2728,postwarexpectations,postwar expectations,1.0000001192092896,postwar opportunities,0.9545240998268127,postwar world,0.8907891511917114
2729,2729,postwarexpections,postwar expectations,1.0000001192092896,postwar opportunities,0.9545240998268127,postwar world,0.8907891511917114
868,868,decorations,decorations,1.0000001192092896,supplies,0.8280666470527649,equipment,0.8021839261054993
2747,2747,pows,pows,1.0000001192092896,veterans,0.8028343915939331,officers,0.7620305418968201
786,786,conscription,conscription,1.0000001192092896,overseas combat,0.8523966670036316,segregation,0.8445599675178528
779,779,confidenceintroops,confidence in troops,1.0000001192092896,morale,0.8319087624549866,preparedness,0.8195701241493225
751,751,company,company,1.0000001192092896,headquarters,0.8037766814231873,mission,0.793059766292572
701,701,combat,combat,1.0000001192092896,training,0.882061779499054,evaluation,0.8630120158195496
610,610,children,children,1.0000001192092896,childhood,0.7962671518325806,doctors,0.7815924286842346
3802,3802,warindustries,war industries,1.0000001192092896,overseas combat,0.8298052549362183,postwar opportunities,0.8203017115592957
3822,3822,warweek,war week,1.0000001192092896,combat stress,0.8081297874450684,postwar opportunities,0.803927481174469
482,482,brief,brief,1.0000001192092896,training,0.8528140187263489,rotation,0.8423739075660706
2937,2937,rations,rations,1.0000001192092896,supplies,0.9032462239265442,savings,0.845584511756897
432,432,blacks,blacks,1.0000001192092896,segregation,0.8673110604286194,racial,0.8257470726966858
299,299,attitudes,attitudes,1.0000001192092896,orientation,0.8880247473716736,rotation,0.882354736328125
273,273,artillery,artillery,1.0000001192092896,infantry,0.8482629060745239,weapons,0.7811521291732788
3214,3214,sexcontact,sex contact,1.0000001192092896,job satisfaction,0.7711589932441711,radio listening habits,0.7674128413200378
132,132,allies,allies,1.0000001192092896,headquarters,0.8506110906600952,supplies,0.8266077637672424
3745,3745,venereal-disease,venereal disease,1.0000001192092896,medical dispensaries,0.6499091982841492,patient care,0.6355075240135193
3743,3743,veneraldisease,venereal disease,1.0000001192092896,medical dispensaries,0.6499091982841492,patient care,0.6355075240135193
3199,3199,servicepersonnel,service personnel,1.0000001192092896,veterans,0.8390442132949829,conscription,0.8017798662185669
995,995,doctors,doctors,1.0000001192092896,officers,0.8789063096046448,veterans,0.8402336835861206
1911,1911,leisuretime,leisure time,1.0000001192092896,limited assignments,0.7686647176742554,sex contact,0.7627483010292053
2092,2092,men,men,1.0000001192092896,women,0.9119040966033936,officers,0.6609854102134705
1825,1825,jobturnover,job turnover,1.0000001192092896,soldier deposits,0.8730019927024841,training,0.8452882766723633
1706,1706,induction,induction,1.0000001192092896,rotation,0.8810043931007385,training,0.8436940312385559
1641,1641,housing,housing,1.0000001192092896,training,0.8699426054954529,rotation,0.8430935144424438
1635,1635,hospitalization,hospitalization,1.0000001192092896,medical care,0.7780196070671082,patient care,0.7755526900291443
1608,1608,homefront,homefront,1.0000001192092896,soldier deposits,0.8467170596122742,live talen,0.8075910210609436
3404,3404,strategicbombing,strategic bombing,1.0000001192092896,war industries,0.7850044369697571,overseas combat,0.7557365298271179
1461,1461,goldbricking,goldbricking,1.0000001192092896,war bonds,0.8289792537689209,training,0.8015923500061035
3603,3603,treatmentofpows,treatment of pows,1.0000001192092896,working with civilians,0.7929868698120117,service personnel,0.6937892436981201
1422,1422,germany,germany,1.0000001192092896,italy,0.823539674282074,japan,0.8037432432174683
3299,3299,soldierdeposits,soldier deposits,1.0000001192092896,homefront,0.8467170596122742,civilian skills,0.8293269872665405
2552,2552,overseascombat,overseas combat,1.0000001192092896,combat stress,0.8613075017929077,conscription,0.8523966670036316
1121,1121,entertainment,entertainment,1.0000001192092896,promotions,0.810795783996582,recreation,0.7694219350814819
1109,1109,enlisted,enlisted,1.0000001192092896,discharge,0.7866178154945374,ups,0.7714819312095642
2634,2634,physicalfitness,physical fitness,1.0000001192092896,medical care,0.7414644956588745,patient care,0.7298159003257751
1046,1046,duty,duty,1.0000001192092896,training,0.8741718530654907,orientation,0.8503873944282532
2673,2673,pointsystem,point system,1.0000001192092896,promotion,0.7243743538856506,program preferences,0.7191916704177856
2686,2686,politicalviews,political views,1.0000001192092896,attitude toward italy,0.7717748880386353,civilian skills,0.7685170769691467
121,121,alaska,alaska,1.0000001192092896,honolulu,0.7990239262580872,japan,0.777153491973877
2015,2015,magazines,magazines,1.0000001192092896,publications,0.8578291535377502,clothing,0.8242887258529663
3138,3138,savings,savings,1.0000001192092896,supplies,0.8518604636192322,food,0.8385940194129944
1138,1138,equipment,equipment,1.0,supplies,0.8545336723327637,weapons,0.8107280135154724
3809,3809,warnews,war news,1.0,war week,0.8838913440704346,base newspapers,0.8130173683166504
2510,2510,opinionoftomorrow,opinion of tomorrow,1.0,confidence in troops,0.7538089752197266,pride in outfit,0.7453652024269104
2509,2509,opinionofallies,opinion of allies,1.0,opinion of tomorrow,0.8368351459503174,political views,0.7950341105461121
2827,2827,promotion,promotion,1.0,promotions,0.7976946830749512,induction,0.7298032641410828
2828,2828,promotions,promotions,1.0,magazines,0.8100789785385132,training,0.7987326979637146
1334,1334,foreignpolicy,foreign policy,1.0,political views,0.6998624205589294,media influence,0.6583507657051086
2469,2469,officertraining,officer training,1.0,morale program,0.8422572612762451,training,0.8384391069412231
2853,2853,pxs,pxs,1.0,wac,0.6940178275108337,v-e day,0.6686434149742126
1392,1392,furloughs,furloughs,1.0,limited assignments,0.7744884490966797,radio listening habits,0.7287676930427551
1421,1421,germans,germans,1.0,germany,0.7371587157249451,japanese,0.7216598987579346
1436,1436,gibill,gi bill,1.0,morale program,0.8305283784866333,pacific toughness,0.8174446225166321
3087,3087,rotation,rotation,1.0,training,0.8897976875305176,racial,0.8731650710105896
561,561,careers,careers,1.0,company,0.6664373874664307,recreation,0.6544411182403564
2358,2358,noncoms,noncoms,1.0,program preferences,0.7850207686424255,pxs,0.7769174575805664
1272,1272,films,films,1.0,magazines,0.7893701791763306,publications,0.7776913642883301
1486,1486,government,government,1.0,media,0.7908270955085754,officers,0.7551398873329163
3575,3575,training,training,1.0,rotation,0.8897976875305176,headquarters,0.8763484358787537
2893,2893,racial,racial,1.0,rotation,0.8731650710105896,rules,0.846579372882843
1570,1570,headquarters,headquarters,1.0,mission,0.8820421099662781,training,0.8763484358787537
3094,3094,rules,rules,1.0,opinions,0.8574973344802856,training,0.8529686331748962
519,519,business,business,1.0,training,0.8539912700653076,food,0.8481496572494507
2239,2239,name,name,1.0,rest,0.8352464437484741,rules,0.8327541351318359
2908,2908,radiolisteninghabits,radio listening habits,1.0,program preferences,0.8215628266334534,pacific toughness,0.8127627968788147
349,349,baseunits,base units,1.0,headquarters,0.8417171835899353,limited assignments,0.8293242454528809
6,6,1in10rations,1 in 10 rations,1.0,rations,0.808323860168457,supplies,0.7394986748695374
473,473,branchofservice,branch of service,1.0,service personnel,0.8145990967750549,further service,0.7356979250907898
2511,2511,opinions,opinions,1.0,censorship,0.8648845553398132,rules,0.8574973344802856
182,182,anxieties,anxieties,1.0,vindictiveness,0.731965959072113,limited assignments,0.7083175182342529
2182,2182,morale,morale,1.0,opinions,0.8657286167144775,training,0.8574256896972656
778,778,confidenceinship,confidence in ship,1.0,confidence in troops,0.9190884232521057,pride in outfit,0.8089894652366638
2741,2741,postwarworld,postwar world,1.0,postwar opportunities,0.8715839385986328,war week,0.7518250346183777
3763,3763,vindictiveness,vindictiveness,1.0,pride in outfit,0.6949342489242554,furloughs,0.6837438344955444
2734,2734,postwaropportunities,postwar opportunities,1.0,postwar world,0.8715839385986328,war bonds,0.8371582627296448
886,886,demobilization,demobilization,1.0,retraining,0.7565010786056519,overseas combat,0.6973829865455627
3758,3758,veterens,veterans,1.0,service personnel,0.8390442132949829,headquarters,0.8075381517410278
3043,3043,rest,rest,1.0,rules,0.8113869428634644,mission,0.7856708765029907
3755,3755,veterans,veterans,1.0,service personnel,0.8390442132949829,headquarters,0.8075381517410278
2721,2721,postwar,postwar,1.0,postwar expectations,0.8849131464958191,postwar opportunities,0.8699649572372437
300,300,attitudetowardengland,attitude toward england,1.0,attitude toward italy,0.9474660754203796,attitude towards germany,0.919287919998169
948,948,dischargees,dischargees,1.0,separation centers,0.8254453539848328,officers,0.784070611000061
952,952,discipline,discipline,1.0,rules,0.8742914199829102,training,0.8273749351501465
3160,3160,segregation,segregation,1.0,conscription,0.8445599675178528,orientation,0.835599958896637
3734,3734,usoclubs,uso clubs,1.0,civilian skills,0.766724705696106,noncoms,0.7649135589599609
2528,2528,orientation,orientation,1.0,rotation,0.9249770045280457,training,0.889072060585022
